,Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y,deteriorated,dist
1535,I-16,WB,16.58763084,16.58465736,1564,15.7,T2,SS,SS,SS,SS,,,,,0,-83.4695456173286,32.67062342710928,0,0
1536,I-16,WB,16.58465736,16.58050963,1565,21.9,L1,T1,CC,CC,CC,,,,,0,-83.46958837898923,32.67064748095438,0,0
1537,I-16,WB,16.58050963,16.57612705,1566,23.14,SS,SS,SS,SS,SS,,,,,0,-83.46964802741803,32.67068103432562,0,0
1538,I-16,WB,16.57612705,16.57293387,1567,16.86,T2,CC,CC,CC,SS,,,,,0,-83.46971105319788,32.6707164882328,0,0
1539,I-16,WB,16.57293387,16.56989599,1568,16.04,T2,T2,T2,T2,T2,,,,,0,-83.469756974313,32.67074232071594,0,0
1540,I-16,WB,16.56989599,16.56816682,1569,9.13,R,R,R,R,R,,,,,1,-83.46980066201533,32.67076689717668,0,0
1541,I-16,WB,16.56816682,16.56534106,1570,14.92,T2,T2,T2,T2,SS,,,,,0,-83.46982552914199,32.6707808863076,0,0
1542,I-16,WB,16.56534106,16.56251531,1571,14.92,SS,SS,SS,SS,SS,,,,,0,-83.46986616632935,32.670803747210044,0,0
1543,I-16,WB,16.56136947,16.55820091,1573,16.73,SS,SS,SS,SS,SS,,,,,0,-83.46990680351547,32.67082660841778,0,0
1544,I-16,WB,16.55820091,16.55631265,1574,9.97,R,R,R,R,R,,,,,1,-83.46995237054641,32.67085224336445,0,0
1545,I-16,WB,16.55516492,16.55281454,1576,12.41,R,R,R,R,R,1.0,2015.0,,,1,-83.4699795255545,32.67086752032408,0,0
1546,I-16,WB,16.55281454,16.55093765,1577,9.91,R,R,R,R,R,,,,,1,-83.47001332632108,32.67088653626759,0,0
1547,I-16,WB,16.55093765,16.5494225,1578,8.0,R,R,R,R,R,,,,,1,-83.4700403179076,32.67090172159427,0,0
1548,I-16,WB,16.5494225,16.54716492,1579,11.92,R,R,R,R,R,,,,,1,-83.47006210728078,32.67091398028231,0,0
1549,I-16,WB,16.54716492,16.54440924,1580,14.55,T2,SS,SS,SS,SS,,,,,0,-83.47009457344615,32.670932245888544,0,0
1550,I-16,WB,16.54440924,16.54190734,1581,13.21,R,R,R,R,R,,,,,1,-83.47013420286672,32.670954541837375,0,0
1551,I-16,WB,16.54190734,16.54041303,1582,7.89,R,R,R,R,R,,,,,1,-83.4701701825664,32.67097478466746,0,0
1552,I-16,WB,16.54041303,16.53606265,1583,22.97,NC,NC,NC,NC,NC,,,,,0,-83.47019167233356,32.67098687531676,0,1
