Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y
I-16,WB,19.73065268,19.72614889,670,23.78,NC,NC,NC,NC,NC,,,,,0,-83.4244490928517,32.65078279968681
I-16,WB,19.72614889,19.72198791,671,21.97,NC,NC,NC,NC,NC,,,,,0,-83.42451397607,32.65079624344192
I-16,WB,19.72198791,19.71894813,672,16.05,NC,NC,NC,NC,NC,,,,,0,-83.42457392074172,32.65080866418973
I-16,WB,19.71894813,19.71574548,673,16.91,NC,NC,NC,NC,NC,,,,,0,-83.42461771282065,32.650817738220304
I-16,WB,19.71574548,19.71126631,674,23.65,NC,NC,NC,NC,NC,,,,,0,-83.42466385139075,32.65082729860208
I-16,WB,19.71126631,19.70709207,675,22.04,NC,NC,NC,NC,NC,,,,,0,-83.4247283799049,32.65084066980865
I-16,WB,19.70709207,19.70405608,676,16.03,NC,NC,NC,NC,NC,,,,,0,-83.42478851556831,32.65085313101315
I-16,WB,19.70405608,19.70081555,677,17.11,NC,NC,NC,NC,NC,,,,,0,-83.42483225307635,32.65086219437938
I-16,WB,19.70081555,19.69637237,678,23.46,NC,NC,NC,NC,NC,,,,,0,-83.42487893734071,32.65087186852255
I-16,WB,19.69637237,19.69218866,679,22.09,NC,NC,NC,NC,NC,,,,,0,-83.42494294744202,32.65088513325156
I-16,WB,19.69218866,19.6891754,680,15.91,NC,NC,NC,NC,NC,,,,,0,-83.42500321952751,32.65089762361558
I-16,WB,19.6891754,19.6859254,681,17.16,NC,NC,NC,NC,NC,,,,,0,-83.42504662961682,32.65090661977572
I-16,WB,19.6859254,19.68150683,682,23.33,NC,NC,NC,NC,NC,,,,,0,-83.42509345030366,32.65091632288227
I-16,WB,19.68150683,19.67731744,683,22.12,NC,NC,NC,NC,NC,,,,,0,-83.42515710570085,32.65092951504993
I-16,WB,19.67731744,19.67431554,684,15.85,SS,SS,SS,SS,SS,,,,,0,-83.42521745963883,32.650942023272314
I-16,WB,19.67431554,19.67107501,685,17.11,NC,NC,NC,NC,NC,,,,,0,-83.42526070601812,32.6509509861489
I-16,WB,19.67107501,19.66662047,686,23.52,NC,NC,NC,NC,NC,,,,,0,-83.42530739027963,32.650960661677566
I-16,WB,19.66662047,19.66217349,687,23.48,NC,NC,NC,NC,NC,,,,,0,-83.4253715640857,32.650973962239654
I-16,WB,19.66217349,19.65800872,688,21.99,NC,NC,NC,NC,NC,,,,,0,-83.42543562875204,32.65098724046945
I-16,WB,19.65800872,19.65475493,689,17.18,NC,NC,NC,NC,NC,,,,,0,-83.42549562798544,32.65099967634812
I-16,WB,19.65475493,19.65035531,690,23.23,NC,NC,NC,NC,NC,,,,,0,-83.42554250323882,32.65100939223379
I-16,WB,19.65035531,19.64619243,691,21.98,NC,NC,NC,NC,NC,,,,,0,-83.42560588578405,32.65102252984672
I-16,WB,19.64619243,19.64316781,692,15.97,NC,NC,NC,NC,NC,,,,,0,-83.42566585773118,32.65103496079091
I-16,WB,19.64316781,19.63993106,693,17.09,NC,NC,NC,NC,NC,,,,,0,-83.425709431525,32.651043992900284
I-16,WB,19.63993106,19.63551818,694,23.3,NC,NC,NC,NC,NC,,,,,0,-83.42575606121386,32.65105365859408
I-16,WB,19.63551818,19.63101818,695,23.76,NC,NC,NC,NC,NC,,,,,0,-83.42581963475055,32.65106683676016
I-16,WB,19.63101818,19.62685341,696,21.99,NC,NC,NC,NC,NC,,,,,0,-83.4258844633865,32.65108027539376
I-16,WB,19.62685341,19.62380795,697,16.08,NC,NC,NC,NC,NC,,,,,0,-83.4259444626159,32.65109271318763
I-16,WB,19.62380795,19.61936856,698,23.44,NC,NC,NC,NC,NC,,,,,0,-83.42598833654047,32.65110180838617
I-16,WB,19.61936856,19.61518106,699,22.11,NC,NC,NC,NC,NC,,,,,0,-83.42605229206184,32.65111506680466
I-16,WB,19.61518106,19.61216401,700,15.93,NC,NC,NC,NC,NC,,,,,0,-83.42611261870707,32.651127573206125
I-16,WB,19.61216401,19.60893484,701,17.05,NC,NC,NC,NC,NC,,,,,0,-83.42615608335883,32.65113658409277
I-16,WB,19.60893484,19.60448787,702,23.48,NC,NC,NC,NC,NC,,,,,0,-83.42620260390544,32.65114622866595
I-16,WB,19.60448787,19.60142537,703,16.17,NC,NC,NC,NC,NC,,,,,0,-83.42626666856381,32.65115951071416
I-16,WB,19.60142537,19.59700681,704,23.33,NC,NC,NC,NC,NC,,,,,0,-83.4263107880492,32.65116865786008
I-16,WB,19.59700681,19.59280984,705,22.16,NC,NC,NC,NC,NC,,,,,0,-83.42637444343482,32.65118185556718
I-16,WB,19.59280984,19.58982877,706,15.74,NC,NC,NC,NC,NC,,,,,0,-83.4264349065009,32.65119439169109
I-16,WB,19.58982877,19.58534961,707,23.65,NC,NC,NC,NC,NC,,,,,0,-83.42647785273971,32.65120329613172
I-16,WB,19.58534961,19.58115453,708,22.15,NC,NC,NC,NC,NC,,,,,0,-83.42654238123649,32.65121667567516
I-16,WB,19.58115453,19.57695945,709,22.15,NC,NC,NC,NC,NC,,,,,0,-83.42660281701616,32.65122920691188
I-16,WB,19.57695945,19.57392536,710,16.02,NC,NC,NC,NC,NC,,,,,0,-83.42666325279524,32.651241738429924
I-16,WB,19.57392536,19.57069619,711,17.05,NC,NC,NC,NC,NC,,,,,0,-83.42670696300617,32.65125080203978
I-16,WB,19.57069619,19.56629657,712,23.23,NC,NC,NC,NC,NC,,,,,0,-83.42675348354867,32.65126044855438
I-16,WB,19.56629657,19.56183445,713,23.56,NC,NC,NC,NC,NC,,,,,0,-83.42681686608195,32.65127359184316
I-16,WB,19.56183445,19.55880036,714,16.02,NC,NC,NC,NC,NC,,,,,0,-83.42688114901212,32.651286922169675
I-16,WB,19.55880036,19.55435907,715,23.45,NC,NC,NC,NC,NC,,,,,0,-83.42692485922142,32.65129598653829
I-16,WB,19.55435907,19.55014694,716,22.24,NC,NC,T1,T2,T2,,,,,0,-83.42698884201785,32.651309255187506
I-16,WB,19.55014694,19.54710149,717,16.08,NC,NC,NC,NC,NC,,,,,0,-83.42704952335586,32.651321839502195
I-16,WB,19.54710149,19.54385338,718,17.15,NC,NC,NC,NC,NC,,,,,0,-83.42709339727247,32.65133093843537
I-16,WB,19.54385338,19.53939126,719,23.56,NC,NC,NC,NC,NC,,,,,0,-83.4271401906595,32.651340643012816
I-16,WB,19.53939126,19.53520944,720,22.08,NC,NC,NC,NC,NC,,,,,0,-83.42720447358587,32.65135397507989
I-16,WB,19.53520944,19.53101815,721,22.13,NC,NC,NC,NC,NC,,,,,0,-83.42726471836502,32.65136646998775
I-16,WB,19.53101815,19.52797648,722,16.06,NC,NC,NC,NC,NC,,,,,0,-83.42732509956728,32.651378993525505
I-16,WB,19.52797648,19.52475489,723,17.01,NC,NC,NC,NC,NC,,,,,0,-83.42736891891192,32.651388082232586
I-16,WB,19.52475489,19.52027193,724,23.67,NC,NC,NC,NC,NC,,,,,0,-83.42741533030949,32.65139770876854
I-16,WB,19.52027193,19.51608822,725,22.09,NC,NC,NC,NC,NC,,,,,0,-83.4274799133646,32.651411104765174
I-16,WB,19.51608822,19.51304655,726,16.06,NC,NC,NC,NC,NC,,,,,0,-83.42754018542482,32.65142360697361
I-16,WB,19.51304655,19.50984201,727,16.92,NC,NC,NC,NC,NC,,,,,0,-83.42758400476716,32.65143269668322
I-16,WB,19.50984201,19.50537231,728,23.6,NC,NC,NC,NC,NC,,,,,0,-83.42763017059922,32.65144227339095
I-16,WB,19.50537231,19.50121132,729,21.97,NC,NC,NC,NC,NC,,,,,0,-83.42769456265711,32.6514556314069
I-16,WB,19.50121132,19.49798594,730,17.03,NC,NC,NC,NC,NC,,,,,0,-83.42775450729599,32.65146806740976
I-16,WB,19.49798594,19.49349541,731,23.71,NC,NC,NC,NC,NC,,,,,0,-83.42780097325733,32.65147770768318
I-16,WB,19.49349541,19.48933632,732,21.96,NC,NC,NC,NC,NC,,,,,0,-83.42786566544214,32.65149113018772
I-16,WB,19.48933632,19.48630223,733,16.02,NC,NC,NC,NC,NC,,,,,0,-83.42792558236482,32.6515037178002
I-16,WB,19.48630223,19.48302192,734,17.32,NC,NC,NC,NC,NC,,,,,0,-83.42796929204238,32.651512976552254
I-16,WB,19.48302192,19.47856737,735,23.52,NC,NC,NC,NC,NC,,,,,0,-83.42801654869723,32.65152298678425
I-16,WB,19.47856737,19.47412609,736,23.45,NC,NC,NC,NC,NC,,,,,0,-83.42808072170608,32.65153658059633
I-16,WB,19.47412609,19.46996131,737,21.99,NC,NC,NC,NC,NC,,,,,0,-83.42814470372326,32.65155013422913
I-16,WB,19.46996131,19.46694427,738,15.93,NC,NC,NC,NC,NC,,,,,0,-83.42820470221135,32.651562844264305
I-16,WB,19.46694427,19.46370563,739,17.1,NC,NC,NC,NC,NC,,,,,0,-83.42824816632722,32.65157205182474
I-16,WB,19.46370563,19.45926244,740,23.46,NC,NC,NC,NC,NC,,,,,0,-83.4282948227225,32.65158193578949
I-16,WB,19.45926244,19.454806,741,23.53,NC,NC,NC,NC,NC,,,,,0,-83.42835883202221,32.651595496134526
I-16,WB,19.454806,19.45066585,742,21.86,NC,NC,NC,NC,NC,,,,,0,-83.42842303231244,32.65160909722143
I-16,WB,19.45066585,19.44763933,743,15.98,NC,NC,NC,NC,NC,,,,,0,-83.42848267610046,32.6516217332478
I-16,WB,19.44763933,19.44441395,744,17.03,NC,NC,NC,NC,NC,,,,,0,-83.42852627663686,32.65163097053469
I-16,WB,19.44441395,19.43996698,745,23.48,NC,NC,NC,NC,NC,,,,,0,-83.42857274203924,32.65164081491988
I-16,WB,19.43996698,19.43580789,746,21.96,L1,L1,L1,L1,L1,,,,,0,-83.42863680590533,32.65165438804058
I-16,WB,19.43580789,19.43275675,747,16.11,NC,NC,NC,NC,NC,,,,,0,-83.42869672253596,32.65166708274712
I-16,WB,19.43275675,19.42952001,748,17.09,NC,NC,NC,NC,NC,,,,,0,-83.42874067776876,32.651676395824886
I-16,WB,19.42952001,19.4250863,749,23.41,NC,NC,NC,NC,NC,,,,,0,-83.42878730687637,32.65168627557821
I-16,WB,19.4250863,19.42092342,750,21.98,NC,NC,NC,NC,NC,,,,,0,-83.42885117974944,32.65169980917209
I-16,WB,19.42092342,19.4178969,751,15.98,L2,L2,L2,L2,L2,,,,,0,-83.42891115094713,32.651712516321695
I-16,WB,19.4178969,19.41346887,752,23.38,NC,L1,L1,L1,CC,,,,,0,-83.42895475148089,32.65172175488837
I-16,WB,19.41346887,19.40930599,753,21.98,NC,NC,NC,NC,NC,,,,,0,-83.42901854249914,32.651735271872425
I-16,WB,19.40930599,19.4062719,754,16.02,NC,NC,NC,NC,NC,,,,,0,-83.4290785136954,32.65174797971218
I-16,WB,19.4062719,19.40301811,755,17.18,NC,NC,NC,NC,NC,,,,,0,-83.42912222336588,32.651757241907845
