Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR
I-16,WB,17.56439441,17.56005729,1281,22.9,NC,NC,NC,NC,NC,,,,
I-16,WB,17.56005729,17.55682434,1282,17.07,NC,NC,NC,NC,NC,,,,
I-16,WB,17.55682434,17.55381487,1283,15.89,NC,NC,NC,NC,NC,,,,
I-16,WB,17.55381487,17.54961221,1284,22.19,NC,NC,NC,NC,NC,,,,
I-16,WB,17.54961221,17.54515577,1285,23.53,L1,CC,CC,CC,CC,,,,
I-16,WB,17.54515577,17.54401562,1286,6.02,L2,L2,L2,L2,L2,,,,
I-16,WB,17.54401562,17.5420213,1287,10.53,NC,NC,NC,NC,NC,,,,
I-16,WB,17.5420213,17.53892471,1288,16.35,NC,NC,L2,L2,L2,,,,
I-16,WB,17.53892471,17.53476183,1289,21.98,SS,SS,SS,SS,SS,,,,
I-16,WB,17.53476183,17.53075236,1290,21.17,CC,CC,CC,CC,CC,,,,
I-16,WB,17.53075236,17.52943796,1291,6.94,NC,NC,NC,NC,NC,,,,
I-16,WB,17.52943796,17.52734705,1292,11.04,T1,T1,T1,T1,T1,,,,
I-16,WB,17.52734705,17.5260516,1293,6.84,NC,NC,NC,L1,L2,,,,
I-16,WB,17.5260516,17.52415576,1294,10.01,L2,L2,L2,L2,L2,,,,
I-16,WB,17.52415576,17.51996826,1295,22.11,T1,T1,T2,T2,T2,,,,
I-16,WB,17.51996826,17.51549099,1296,23.64,NC,NC,L1,T2,T2,,,,
I-16,WB,17.51549099,17.51229212,1297,16.89,NC,NC,NC,T1,T2,,,,
I-16,WB,17.51229212,17.50919932,1298,16.33,L1,L1,L1,SS,SS,,,,
I-16,WB,17.50919932,17.50500046,1299,22.17,NC,NC,NC,NC,NC,,,,
I-16,WB,17.50500046,17.50060841,1300,23.19,NC,NC,NC,NC,NC,,,,
I-16,WB,17.50060841,17.49739818,1301,16.95,NC,NC,NC,NC,NC,,,,
I-16,WB,17.49739818,17.49544363,1302,10.32,NC,NC,NC,NC,NC,,,,
I-16,WB,17.49544363,17.49374666,1303,8.96,NC,NC,NC,NC,NC,,,,
I-16,WB,17.49374666,17.48990007,1304,20.31,NC,NC,NC,T1,T1,,,,
I-16,WB,17.48990007,17.48666712,1305,17.07,NC,NC,NC,NC,T1,,,,
